issue,title,validator comment,status,size,Best
findings-17,QA Report,,Satisfactory,226,
findings-2,QA Report,,Unsatisfactory,3,
findings-6,QA Report,,Satisfactory,220,
validation-110,QA Report,spammer,Unsatisfactory,21,
validation-132,QA Report,,Unsatisfactory,23,
validation-136,QA Report,,Unsatisfactory,27,
validation-143,QA Report,,Unsatisfactory,285,
validation-160,Gas Optimizations,no gas pot,Unsatisfactory,34,
validation-163,Gas Optimizations,no gas pot,Unsatisfactory,15,
validation-184,QA Report,,Satisfactory,770,
validation-185,QA Report,,Unsatisfactory,205,
validation-193,Gas Optimizations,no gas pot,Unsatisfactory,24,
validation-194,QA Report,,Satisfactory,1126,
validation-207,QA Report,,Satisfactory,28,
validation-216,QA Report,,Satisfactory,235,
validation-224,QA Report,spammer,Unsatisfactory,28,
validation-244,QA Report,,Satisfactory,37,
validation-25,QA Report,,Unsatisfactory,108,
validation-253,QA Report,,Satisfactory,123,
validation-255,QA Report,,Unsatisfactory,393,
validation-26,Gas Optimizations,no gas pot,Unsatisfactory,27,
validation-264,QA Report,"https://github.com/code-423n4/2024-08-wildcat-validation/blob/main/data/0xpiken-Q.md#l01-hooksfactorydeploymarketandhooks-might-revert-due-to-incorrect-shifting-in-libhooksconfigsethooksaddress --> dup of https://github.com/code-423n4/2024-08-wildcat-findings/issues/3

https://github.com/code-423n4/2024-08-wildcat-validation/blob/main/data/0xpiken-Q.md#i02-normalizedamountwithdrawn-should-be-used-instead-of-scaledamount-in-hooksconfigonexecutewithdrawal-to-avoid-misunderstanding --> dup of https://github.com/code-423n4/2024-08-wildcat-validation/issues/240",Satisfactory,144,
validation-270,QA Report,,Satisfactory,1549,
validation-278,QA Report,,Unsatisfactory,11,
validation-284,QA Report, https://github.com/code-423n4/2024-08-wildcat-validation/blob/main/data/NexusAudits-Q.md#1-memory-safety-violation-in-calculatecreate2address-libstoredinitcode --> dup of https://github.com/code-423n4/2024-08-wildcat-validation/issues/279,Satisfactory,576,
validation-306,QA Report,,Satisfactory,678,
validation-317,QA Report,,Satisfactory,343,
validation-320,QA Report, https://github.com/code-423n4/2024-08-wildcat-validation/blob/main/data/Infect3d-Q.md#l02---onrepay-hook-can-be-avoided-by-directly-sending-funds-to-market-as-assets-are-accounted-as-balanceof --> dup of https://github.com/code-423n4/2024-08-wildcat-validation/issues/124,Satisfactory,182,
validation-327,Gas Optimizations,no gas pot,Unsatisfactory,11,
validation-328,QA Report,,Unsatisfactory,11,
validation-38,QA Report,,Unsatisfactory,17,
validation-39,QA Report,,Unsatisfactory,17,
validation-58,Gas Optimizations,no gas pot,Unsatisfactory,164,
validation-61,QA Report,invalid attack while there was a primary regarding the same,Unsatisfactory,8,
validation-15,Gas Optimizations,no gas pot,Unsatisfactory,97,
validation-87,QA Report,spammer,Unsatisfactory,141,
validation-196,QA Report,,Satisfactory,1127,